itemid,lab_name,total_measurements,percentage_of_lab_events,patients_with_test,percentage_of_esrd_patients
50912,Creatinine,566098,3.111245529801479,10171,99.92140681795854
50971,Potassium,558757,3.0708997708793975,10169,99.90175852244818
51006,Urea Nitrogen,556423,3.058072226767677,10171,99.92140681795854
50983,Sodium,552158,3.0346320058437324,10166,99.87228607918263
50902,Chloride,547981,3.011675428399578,10167,99.88211022693781
50882,Bicarbonate,531063,2.9186949694098248,10162,99.8329894881619
50868,Anion Gap,530039,2.9130671180086245,10162,99.8329894881619
51221,Hematocrit,517210,2.8425595929832346,10173,99.9410551134689
51265,Platelet Count,498987,2.7424069210261313,10173,99.9410551134689
51222,Hemoglobin,496904,2.730958860021541,10166,99.87228607918263
