lab_name,esrd_patients_with_data,non_esrd_patients_with_data,esrd_coverage_pct,non_esrd_coverage_pct,esrd_mean,non_esrd_mean,mean_difference,correlation,p_value,total_measurements,composite_score
calcium_total,31288,2674,99.19,95.84,8.724,8.915,0.191,-0.0874,0.0,1201938,0.852155360516473
hematocrit,31527,2785,99.95,99.82,32.747,34.05,1.303,-0.0693,0.0,1523109,0.692202903435185
hemoglobin,31527,2778,99.95,99.57,10.733,11.132,0.399,-0.0609,0.0,1512836,0.6075372981094659
potassium,31531,2780,99.97,99.64,4.246,4.305,0.058,-0.041,0.0,1585603,0.40919994079667216
phosphate,31235,2663,99.03,95.45,3.636,3.504,0.132,0.0412,0.0,1162272,0.4005609163590477
sodium,31531,2777,99.97,99.53,138.753,139.244,0.491,-0.0394,0.0,1570146,0.39301404412916335
glucose,31530,2772,99.96,99.35,132.894,128.01,4.885,0.0325,0.0,1469411,0.32387723310692895
bicarbonate,31530,2773,99.96,99.39,24.662,25.034,0.372,-0.0296,0.0,1509028,0.2950367939478736
platelet_count,31527,2785,99.95,99.82,227.303,217.283,10.02,0.0287,0.0,1477509,0.2866698893014402
anion_gap,31530,2773,99.96,99.39,14.77,14.542,0.228,0.0242,0.0,1505653,0.24121251397089663
magnesium,31298,2687,99.23,96.31,2.054,2.037,0.017,0.0187,0.0006,1197629,0.1828095138168963
creatinine,31533,2782,99.97,99.71,1.651,1.726,0.076,-0.018,0.0008,1609246,0.1797118476561854
chloride,31531,2778,99.97,99.57,102.479,102.742,0.263,-0.0166,0.0021,1555716,0.16561786723430538
hemoglobin_a1c,15380,1213,48.76,43.48,6.613,6.495,0.118,0.0196,0.0118,67948,0.09024698204194974
c_reactive_protein,9550,557,30.28,19.96,48.048,39.839,8.209,0.0329,0.001,37099,0.08088241347833285
cholesterol_ldl,14283,1020,45.28,36.56,89.838,87.351,2.487,0.0177,0.0288,64538,0.07201609508103032
urea_nitrogen,31532,2782,99.97,99.71,31.265,30.797,0.468,0.0072,0.1805,1578756,0.07188473906247417
triglycerides,16271,1058,51.59,37.92,157.675,150.563,7.112,0.0131,0.0856,68240,0.05794129851910467
protein,24286,1499,77.0,53.73,71.809,75.196,3.387,-0.0088,0.1579,157755,0.0566026096924868
cholesterol_total,14818,1048,46.98,37.56,167.139,166.139,1.0,0.0051,0.5235,63179,0.021423453150227676
cholesterol_hdl,14365,1022,45.54,36.63,49.662,50.03,0.368,-0.005,0.5329,60239,0.020421374831288905
albumin,6044,481,19.16,17.24,272.849,245.827,27.021,0.0101,0.4152,41972,0.018356410320103437
wbc_count,1274,40,4.04,1.43,7.403,6.881,0.521,0.0136,0.6225,8756,0.0032688697006763665
