scenario,model,rep,c_index,brier,auc,source_report,source_generated_on,source_sha256
four_features,Cox,1,0.3083,0.53149,0.2716,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,Dynamic DeepHit,1,0.8319,0.2851,0.9468,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,Hazard Transformer,1,0.6386,0.40436,0.7025,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,Logistic Hazard,1,0.5517,0.41619,0.5708,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,RNN-Surv,1,0.5164,0.44881,0.519,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,DeepSurv,1,0.5103,0.44809,0.516,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,GBSA,1,0.5192,0.43306,0.5353,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,Survival RF,1,0.5311,0.44486,0.5412,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,Survival SVM,1,0.5429,0.41694,0.5709,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,Weibull AFT,1,0.5523,0.4139,0.5789,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,KFRE,1,0.539,0.55231,0.5528,generated_data/rep1/four_features_clinical_validity_report.txt,2026-09-17 03:05:44,f29222a0654efc6f22cc82604f4a7b45f765689903083d85c0829684ffe13c9d
four_features,Cox,2,0.3083,0.53149,0.2716,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,Dynamic DeepHit,2,0.8088,0.30188,0.908,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,Hazard Transformer,2,0.6373,0.40947,0.6991,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,Logistic Hazard,2,0.5319,0.42478,0.5375,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,RNN-Surv,2,0.5317,0.42529,0.5434,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,DeepSurv,2,0.5571,0.42802,0.5736,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,GBSA,2,0.5196,0.43299,0.5358,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,Survival RF,2,0.5269,0.44872,0.5403,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,Survival SVM,2,0.5429,0.41694,0.5709,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,Weibull AFT,2,0.5523,0.4139,0.5789,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,KFRE,2,0.539,0.55231,0.5528,generated_data/rep2/four_features_clinical_validity_report.txt,2026-09-17 03:08:18,d04621a4168179e21f4f3f0f8f863662afb634fab908c54b9f2981d5e2b28e1d
four_features,Cox,3,0.3083,0.53149,0.2716,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Dynamic DeepHit,3,0.8282,0.25452,0.9434,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Hazard Transformer,3,0.6373,0.42029,0.7022,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Logistic Hazard,3,0.5614,0.41395,0.5861,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,RNN-Surv,3,0.5208,0.43105,0.5205,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,DeepSurv,3,0.5284,0.59613,0.5354,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,GBSA,3,0.5175,0.44227,0.5261,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Survival RF,3,0.5271,0.44621,0.5337,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Survival SVM,3,0.5429,0.41694,0.5709,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Weibull AFT,3,0.5523,0.4139,0.5789,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,KFRE,3,0.539,0.55231,0.5528,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Cox,4,0.3083,0.53149,0.2716,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Dynamic DeepHit,4,0.8276,0.2843,0.9461,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Hazard Transformer,4,0.6379,0.40303,0.7002,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Logistic Hazard,4,0.56,0.40907,0.5743,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,RNN-Surv,4,0.5169,0.42452,0.5184,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,DeepSurv,4,0.5532,0.42327,0.5601,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
