scenario,model,n_reps,c_index_mean,c_index_sd,c_index_min,c_index_max,brier_mean,brier_sd,brier_min,brier_max,auc_mean,auc_sd,auc_min,auc_max
four_features,Cox,5,0.3083,0.0,0.3083,0.3083,0.53149,0.0,0.53149,0.53149,0.2716,0.0,0.2716,0.2716
four_features,Dynamic DeepHit,5,0.8272,0.011325855376085306,0.8088,0.8395,0.279188,0.017793170599980195,0.25452,0.30188,0.93864,0.01724073664319479,0.908,0.9489
four_features,Hazard Transformer,5,0.63736,0.001071447618878281,0.6357,0.6386,0.409248,0.006792570941845215,0.40303,0.42029,0.70148,0.0017711578134090575,0.6991,0.7034
four_features,Logistic Hazard,5,0.551,0.01178409945647099,0.5319,0.5614,0.415886,0.005692111207627625,0.40907,0.42478,0.56668,0.01808015486659337,0.5375,0.5861
four_features,RNN-Surv,5,0.52202,0.0062886405526154645,0.5164,0.5317,0.430054,0.011129673400419256,0.4206,0.44881,0.5264,0.010736153873711013,0.5184,0.5434
four_features,DeepSurv,5,0.54,0.020026856967582336,0.5103,0.5571,0.463492,0.07488636471347773,0.42195,0.59613,0.5493,0.0232144351643541,0.516,0.5736
four_features,GBSA,5,0.51784,0.0026235472170326956,0.5134,0.5196,0.438322,0.007759695225973766,0.43299,0.45022,0.53,0.008304215796810675,0.5171,0.5358
four_features,Survival RF,5,0.5319200000000001,0.00529263639408565,0.5269,0.539,0.44501799999999997,0.0026244656599010846,0.44188,0.44872,0.54262,0.006544234103392097,0.5337,0.5504
four_features,Survival SVM,5,0.5429,0.0,0.5429,0.5429,0.41694,0.0,0.41694,0.41694,0.5709,0.0,0.5709,0.5709
four_features,Weibull AFT,5,0.5523,0.0,0.5523,0.5523,0.4139,0.0,0.4139,0.4139,0.5789,0.0,0.5789,0.5789
four_features,KFRE,5,0.539,0.0,0.539,0.539,0.55231,0.0,0.55231,0.55231,0.5528,0.0,0.5528,0.5528
eight_features,Cox,5,0.4703,0.0,0.4703,0.4703,0.57763,0.0,0.57763,0.57763,0.4253,0.0,0.4253,0.4253
eight_features,Dynamic DeepHit,5,0.87958,0.008662678569588035,0.866,0.8896,0.280692,0.024066748222391826,0.24912,0.30792,0.95344,0.009466942484244832,0.9381,0.962
eight_features,Hazard Transformer,5,0.60504,0.03896701168937645,0.5658,0.6653,0.529,0.2052748945925926,0.42328,0.89553,0.63068,0.04918650221351383,0.5727,0.7065
eight_features,Logistic Hazard,5,0.52124,0.01916749853267244,0.4884,0.5347,0.49048400000000003,0.015555887309954395,0.47076,0.50573,0.49988,0.02933746751169909,0.4638,0.5314
eight_features,RNN-Surv,5,0.53092,0.004553789630626352,0.5267,0.5364,0.49285,0.004808081738073927,0.48734,0.49944,0.59034,0.014739335127474372,0.574,0.6058
eight_features,DeepSurv,5,0.48397999999999997,0.014158460368274504,0.4642,0.4975,0.555354,0.11539403853752585,0.48836,0.7601,0.48594,0.021860535217601628,0.4553,0.5096
eight_features,GBSA,5,0.5408,0.010847810839058739,0.5226,0.5487,0.529116,0.01406343947972898,0.51273,0.53974,0.55904,0.010702009157162956,0.5403,0.5665
eight_features,Survival RF,5,0.5223,0.008115725475889356,0.513,0.5327,0.523402,0.00727309906436041,0.51869,0.53602,0.53878,0.008141068725910632,0.5282,0.5469
eight_features,Survival SVM,5,0.5396,0.0,0.5396,0.5396,0.48775,0.0,0.48775,0.48775,0.5949,0.0,0.5949,0.5949
eight_features,Weibull AFT,5,0.5543,0.0,0.5543,0.5543,0.4846,0.0,0.4846,0.4846,0.5967,0.0,0.5967,0.5967
eight_features,KFRE,5,0.5391,0.0,0.5391,0.5391,0.73697,0.0,0.73697,0.73697,0.5791,0.0,0.5791,0.5791
twenty_features_heterogeneous,Cox,5,0.4565,0.0,0.4565,0.4565,0.39675,0.0,0.39675,0.39675,0.433,0.0,0.433,0.433
twenty_features_heterogeneous,Dynamic DeepHit,5,0.85578,0.03498223835033999,0.7969,0.8851,0.247562,0.012732217795812318,0.23167,0.26314,0.946,0.025977682729604636,0.9019,0.9658
twenty_features_heterogeneous,Hazard Transformer,5,0.7166,0.05962084367064928,0.6198,0.7576,0.314178,0.0320382079711085,0.28145,0.36466,0.80184,0.07785819160499427,0.6747,0.8553
twenty_features_heterogeneous,Logistic Hazard,5,0.5219,0.004720699100768883,0.5145,0.5259,0.373598,0.005963817569309095,0.36774,0.38292,0.53058,0.025657299156380417,0.4999,0.5543
twenty_features_heterogeneous,RNN-Surv,5,0.5229,0.0008215838362577735,0.5216,0.5237,0.375828,0.0026342589090672087,0.37267,0.37803,0.52688,0.00106160256216722,0.5252,0.5281
twenty_features_heterogeneous,DeepSurv,5,0.5332600000000001,0.0027097970403703753,0.5299,0.5368,0.369552,0.001090742866123807,0.36875,0.37083,0.5389200000000001,0.007421051138484373,0.5272,0.5471
twenty_features_heterogeneous,GBSA,5,0.5211,0.0,0.5211,0.5211,0.37134,0.0,0.37134,0.37134,0.5289,0.0,0.5289,0.5289
twenty_features_heterogeneous,Survival RF,5,0.5219,0.0005999999999999802,0.5209,0.5224,0.372114,0.00011081516141755791,0.37199,0.37222,0.5338999999999999,0.0011532562594670512,0.532,0.5347
twenty_features_heterogeneous,Survival SVM,5,0.5126,0.0,0.5126,0.5126,0.36903,0.0,0.36903,0.36903,0.5397,0.0,0.5397,0.5397
twenty_features_heterogeneous,Weibull AFT,5,0.5253,0.0,0.5253,0.5253,0.37022,0.0,0.37022,0.37022,0.5459,0.0,0.5459,0.5459
