SUMMARY TABLE
================================================================================
Model                C-Index         Brier Score     AUC            
--------------------------------------------------------------------------------
cox_egfr             0.374±0.004     0.926±0.029     0.352±0.004    
cox_hg               0.552±0.002     0.193±0.002     0.550±0.003    
cox_ti               0.517±0.008     0.443±0.001     0.527±0.012    
cox_tv               0.545±0.001     0.215±0.002     0.539±0.002    
ddh                  0.735±0.069     0.036±0.003     0.798±0.197    
deepsurv             0.523±0.002     0.475±0.012     0.464±0.002    
gbsa                 0.523±0.011     0.329±0.043     0.534±0.016    
hazard_transformer   0.500±0.000     0.566±0.007     0.500±0.000    
rnnsurv              0.640±0.076     0.082±0.088     0.648±0.080    
survival_svm         0.510±0.007     0.252±0.004                    
weibul               0.521±0.001     0.485±0.007     0.535±0.001    
